"","country","year","demox","income_per_capita","tax_gdp","gini_index","yr_weight","western"
"209","Senegal",2016,62.1,3100,20.5,40.3,1,0
"210","Sierra Leone",2006,35.7,1070,8.43,38.4,0.5,0
"219","South Africa",2006,79.1,11500,27.3,63.9,0.5,0
"229","South Africa",2016,74.1,12200,27.1,63,1,0
"230","Swaziland",2006,29.3,7630,31,52,0.5,0
"238","Togo",2006,17.5,1160,14.8,43,0.5,0
"247","Togo",2016,33.2,1500,21.9,43.2,1,0
"248","Tunisia",2006,30.6,9180,18.5,37.8,0.5,0
"256","Uganda",2016,52.6,1770,13.5,42.2,1,0
"263","Zambia",2016,59.9,3700,14.9,57.1,1,0
"268","Argentina",2006,66.3,16700,12.9,46.7,0.5,0
"278","Argentina",2016,69.6,18600,12.2,42.1,1,0
"279","Bolivia",2006,59.8,4780,16.8,55.1,0.5,0
"281","Brazil",2006,73.8,12700,15.4,55.5,0.5,0
"291","Brazil",2016,69,14200,12.9,51.4,1,0
"292","Canada",2006,90.7,41200,13.4,33.8,0.5,1
"302","Canada",2016,91.5,43100,12.2,31.1,1,1
"303","Chile",2006,78.9,17900,19.5,49,0.5,0
"313","Chile",2016,77.8,22300,17.4,47.6,1,0
"322","Colombia",2016,66.7,13200,13.3,51.3,1,0
"323","Costa Rica",2006,80.4,11600,13.9,48.6,0.5,0
"333","Costa Rica",2016,78.8,15100,14,48.6,1,0
"334","Dominican Republic",2006,61.3,9860,14,50,0.5,0
"344","Dominican Republic",2016,66.7,14500,13.5,44.9,1,0
"345","El Salvador",2006,62.2,6120,15.7,46.8,0.5,0
"355","El Salvador",2016,66.4,7120,17.6,40.4,1,0
"356","Guatemala",2006,60.7,6460,11.9,54.1,0.5,0
"366","Guatemala",2016,59.2,7370,10.4,48.3,1,0
"367","Honduras",2006,62.5,3810,15.2,57.3,0.5,0
"377","Jamaica",2006,73.4,8630,24,45.5,0.5,0
"387","Jamaica",2016,73.9,8120,26.1,45.5,1,0
"396","Mexico",2016,64.7,17800,13.6,46.3,1,0
"397","Nicaragua",2006,56.8,3820,13.7,44.6,0.5,0
"407","Nicaragua",2016,48.1,5000,16.3,46.2,1,0
"408","Paraguay",2006,61.6,8280,10.5,52.1,0.5,0
"418","Paraguay",2016,62.7,11400,12.6,48.4,1,0
"419","Peru",2006,61.1,8020,15.7,50,0.5,0
"429","Peru",2016,66.5,12400,13.8,43.6,1,0
"430","Suriname",2006,65.2,12500,16.7,59.8,0.5,0
"437","United States",2006,82.2,50400,11.3,40.8,0.5,1
"447","United States",2016,79.8,53600,10.9,41.4,1,1
"448","Uruguay",2006,79.6,13500,19,45.8,0.5,0
"458","Uruguay",2016,81.7,20200,23.7,39.9,1,0
"459","Afghanistan",2006,30.6,1120,6.88,36.8,0.5,0
"469","Armenia",2006,41.5,6110,14.4,32.7,0.5,0
"478","Armenia",2016,38.8,8160,21.3,32.3,1,0
"487","Bahrain",2006,35.3,42700,1.17,40,0.5,0
"494","Bangladesh",2006,61.1,2100,7.04,33,0.5,0
"504","Bangladesh",2016,57.3,3420,8.77,32.4,1,0
"505","Bhutan",2006,26.2,4830,9.03,39,0.5,0
"515","Bhutan",2016,49.3,8940,13.2,37.8,1,0
